layer_order,layer_id,layer_name,position,decoded,behavior_id,param1,param2,width,height,y,x,r,rx,ry
0,0,BASE,0,Apostrophe,8,458804,0,100,100,37,0,0,0,0
0,0,BASE,1,Q,8,458772,0,100,100,37,100,0,0,0
0,0,BASE,2,W,8,458778,0,100,100,12,200,0,0,0
0,0,BASE,3,E,8,458760,0,100,100,0,300,0,0,0
0,0,BASE,4,R,8,458773,0,100,100,12,400,0,0,0
0,0,BASE,5,T,8,458775,0,100,100,24,500,0,0,0
0,0,BASE,6,Backslash,8,458801,0,100,100,24,800,0,0,0
0,0,BASE,7,Y,8,458780,0,100,100,12,900,0,0,0
0,0,BASE,8,U,8,458776,0,100,100,0,1000,0,0,0
0,0,BASE,9,I,8,458764,0,100,100,12,1100,0,0,0
0,0,BASE,10,O,8,458770,0,100,100,37,1200,0,0,0
0,0,BASE,11,P,8,458771,0,100,100,37,1300,0,0,0
0,0,BASE,12,Esc,8,458793,0,100,100,137,0,0,0,0
0,0,BASE,13,A,8,458756,0,100,100,137,100,0,0,0
0,0,BASE,14,S,8,458774,0,100,100,112,200,0,0,0
0,0,BASE,15,D,8,458759,0,100,100,100,300,0,0,0
0,0,BASE,16,F,8,458761,0,100,100,112,400,0,0,0
0,0,BASE,17,G,8,458762,0,100,100,124,500,0,0,0
0,0,BASE,18,;,8,458803,0,100,100,124,800,0,0,0
0,0,BASE,19,H,8,458763,0,100,100,112,900,0,0,0
0,0,BASE,20,J,8,458765,0,100,100,100,1000,0,0,0
0,0,BASE,21,K,8,458766,0,100,100,112,1100,0,0,0
0,0,BASE,22,L,8,458767,0,100,100,137,1200,0,0,0
0,0,BASE,23,Enter,8,458792,0,100,100,137,1300,0,0,0
0,0,BASE,24,[,8,458799,0,100,100,237,0,0,0,0
0,0,BASE,25,Z,8,458781,0,100,100,237,100,0,0,0
0,0,BASE,26,X,8,458779,0,100,100,212,200,0,0,0
0,0,BASE,27,C,8,458758,0,100,100,200,300,0,0,0
0,0,BASE,28,V,8,458777,0,100,100,212,400,0,0,0
0,0,BASE,29,B,8,458757,0,100,100,224,500,0,0,0
0,0,BASE,30,/,8,458808,0,100,100,224,800,0,0,0
0,0,BASE,31,N,8,458769,0,100,100,212,900,0,0,0
0,0,BASE,32,M,8,458768,0,100,100,200,1000,0,0,0
0,0,BASE,33,",",8,458806,0,100,100,212,1100,0,0,0
0,0,BASE,34,.,8,458807,0,100,100,237,1200,0,0,0
0,0,BASE,35,],8,458800,0,100,100,237,1300,0,0,0
0,0,BASE,36,Backspace,8,458794,0,100,100,312,350,0,0,0
0,0,BASE,37,MO(NAV:id1),12,1,0,100,100,312,450,1200,450,412
0,0,BASE,38,Space,8,458796,0,100,100,328,548,2400,548,433
0,0,BASE,39,Tab,8,458795,0,100,100,328,752,-2400,852,433
0,0,BASE,40,MO(SYM:id2),12,2,0,100,100,312,850,-1200,950,412
0,0,BASE,41,Delete,8,458828,0,100,100,312,950,0,0,0
1,2,SYM,0,Grave,8,458805,0,100,100,37,0,0,0,0
1,2,SYM,1,!,8,34013214,0,100,100,37,100,0,0,0
1,2,SYM,2,@,8,34013215,0,100,100,12,200,0,0,0
1,2,SYM,3,#,8,34013216,0,100,100,0,300,0,0,0
1,2,SYM,4,$,8,34013217,0,100,100,12,400,0,0,0
1,2,SYM,5,%,8,34013218,0,100,100,24,500,0,0,0
1,2,SYM,6,^,8,34013219,0,100,100,24,800,0,0,0
1,2,SYM,7,&,8,34013220,0,100,100,12,900,0,0,0
1,2,SYM,8,*,8,34013221,0,100,100,0,1000,0,0,0
1,2,SYM,9,(,8,34013222,0,100,100,12,1100,0,0,0
1,2,SYM,10,),8,34013223,0,100,100,37,1200,0,0,0
1,2,SYM,11,RShift,8,458981,0,100,100,37,1300,0,0,0
1,2,SYM,12,TRNS,23,0,0,100,100,137,0,0,0,0
1,2,SYM,13,1,8,458782,0,100,100,137,100,0,0,0
1,2,SYM,14,2,8,458783,0,100,100,112,200,0,0,0
1,2,SYM,15,3,8,458784,0,100,100,100,300,0,0,0
1,2,SYM,16,4,8,458785,0,100,100,112,400,0,0,0
1,2,SYM,17,5,8,458786,0,100,100,124,500,0,0,0
1,2,SYM,18,6,8,458787,0,100,100,124,800,0,0,0
1,2,SYM,19,7,8,458788,0,100,100,112,900,0,0,0
1,2,SYM,20,8,8,458789,0,100,100,100,1000,0,0,0
1,2,SYM,21,9,8,458790,0,100,100,112,1100,0,0,0
1,2,SYM,22,0,8,458791,0,100,100,137,1200,0,0,0
1,2,SYM,23,TRNS,23,0,0,100,100,137,1300,0,0,0
1,2,SYM,24,~,8,34013237,0,100,100,237,0,0,0,0
1,2,SYM,25,A,8,458756,0,100,100,237,100,0,0,0
1,2,SYM,26,S,8,458774,0,100,100,212,200,0,0,0
1,2,SYM,27,D,8,458759,0,100,100,200,300,0,0,0
1,2,SYM,28,F,8,458761,0,100,100,212,400,0,0,0
1,2,SYM,29,TRNS,23,0,0,100,100,224,500,0,0,0
1,2,SYM,30,TRNS,23,0,0,100,100,224,800,0,0,0
1,2,SYM,31,_,8,34013229,0,100,100,212,900,0,0,0
1,2,SYM,32,-,8,458797,0,100,100,200,1000,0,0,0
1,2,SYM,33,+,8,34013230,0,100,100,212,1100,0,0,0
